Expected	Predicted
Training Data 
5	5
5	5
5	5
7	7
5	5
7	7
8	8
5	5
8	8
7	5
8	5
5	5
7	7
5	5
5	5
5	5
5	5
5	5
7	5
5	5
5	5
7	7
7	5
5	5
5	5
7	7
5	5
8	7
5	5
5	5
5	5
8	7
5	5
7	7
7	7
5	5
5	5
5	5
5	5
5	5
5	5
7	7
7	7
7	7
7	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
7	5
7	5
5	5
7	5
5	5
5	5
5	5
5	5
5	5
7	7
5	5
5	5
7	7
7	7
5	5
7	7
8	8
8	8
7	7
5	5
5	5
5	5
5	5
7	7
5	5
5	5
7	5
5	5
5	5
5	5
5	5
5	5
5	5
5	7
8	7
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
7	7
5	5
7	7
5	5
5	5
5	5
5	5
5	5
5	5
7	7
5	5
5	5
7	5
5	5
5	5
7	7
5	5
7	7
7	5
7	5
5	5
5	5
8	5
7	7
7	7
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
7	7
8	7
8	7
5	5
5	5
5	5
7	5
7	5
7	5
7	5
5	5
7	5
5	5
7	7
5	5
7	5
7	7
8	8
5	5
5	5
7	7
7	5
5	5
5	5
5	5
5	5
8	7
5	5
5	5
5	7
5	5
7	7
7	5
5	5
7	7
5	5
7	7
7	7
7	7
5	5
7	5
7	7
5	5
5	5
7	5
7	5
7	5
7	5
7	5
7	5
7	5
7	5
7	5
5	5
7	5
7	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
7	7
5	5
5	5
5	5
5	5
5	5
7	7
7	5
5	5
5	5
5	5
5	5
5	5
7	5
8	7
7	7
5	5
8	7
7	5
5	5
7	7
8	8
5	5
7	7
5	5
5	5
7	5
7	5
7	7
7	7
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
7	5
5	5
7	7
5	5
5	5
5	5
5	5
7	5
5	5
5	5
5	5
7	5
7	5
7	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
7	5
5	5
7	5
7	5
7	7
7	5
7	7
7	5
5	5
5	5
7	7
5	5
7	5
5	5
5	5
5	5
7	5
5	5
7	7
7	7
7	7
7	5
7	7
5	5
5	5
7	5
7	7
7	7
5	5
5	5
5	5
5	5
7	5
5	5
8	5
7	5
5	5
5	5
5	5
5	5
5	5
8	7
5	5
5	5
5	5
5	5
7	7
5	5
5	5
5	5
5	5
8	5
5	5
5	5
5	5
7	7
5	5
5	5
5	5
7	7
5	5
5	5
5	5
5	5
7	5
7	5
7	5
7	5
7	8
5	5
5	7
5	5
7	5
5	5
5	5
5	5
8	7
5	5
7	5
7	5
7	5
5	5
5	5
5	5
5	5
5	5
7	7
7	7
5	5
5	5
5	5
5	5
5	5
5	5
5	5
7	7
5	5
5	5
5	5
5	5
5	5
7	7
5	5
7	7
7	5
5	5
5	5
8	5
7	5
5	5
7	7
5	5
5	5
5	5
7	5
5	5
5	5
7	7
5	5
5	5
5	5
7	7
5	5
7	7
7	7
5	5
5	5
7	5
7	5
7	7
7	5
7	5
5	5
5	5
7	5
8	5
7	5
8	5
5	5
7	7
7	7
5	5
7	7
5	5
5	5
8	7
5	5
5	5
7	5
5	5
5	5
7	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
7	5
7	5
8	7
8	7
8	7
8	7
8	7
7	7
7	7
7	5
7	5
7	5
8	7
8	7
5	5
5	5
7	5
7	5
5	5
7	7
5	5
7	7
7	7
5	5
5	5
7	7
5	5
8	7
7	5
5	5
7	7
8	5
7	5
5	5
5	5
5	5
7	5
8	7
7	5
7	7
7	7
7	7
7	5
5	5
7	7
7	5
7	7
5	5
8	5
8	5
5	5
5	5
5	5
5	5
5	5
5	5
7	5
7	5
7	5
8	7
5	5
5	5
7	5
5	5
5	5
7	7
5	5
5	5
5	5
5	5
5	5
5	5
7	7
5	5
7	5
7	7
7	5
7	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
7	5
7	5
7	7
5	5
7	7
7	7
7	5
7	7
7	7
5	5
5	7
7	7
5	5
7	7
5	7
5	7
7	7
5	5
5	5
7	7
7	5
5	5
7	5
5	5
7	5
7	7
5	5
5	5
5	5
5	5
7	5
7	5
8	7
7	7
5	5
5	5
7	5
5	5
5	5
5	5
7	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
7	7
5	5
5	5
5	5
5	5
7	5
7	7
7	5
5	5
7	5
5	5
7	7
5	5
5	5
7	5
7	5
5	5
8	5
8	5
7	5
7	7
5	5
8	5
7	5
7	7
5	7
5	5
5	5
7	7
8	5
7	7
7	7
7	7
5	5
8	5
5	5
5	5
5	5
5	5
7	5
5	5
5	5
7	7
7	7
5	5
7	7
5	5
5	5
5	5
8	7
8	7
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
7	5
5	5
5	5
5	5
5	5
5	7
5	5
7	5
5	5
5	5
5	5
5	7
7	7
5	5
5	5
8	7
5	5
7	7
7	5
7	7
7	5
7	5
7	5
5	5
5	5
5	5
5	5
5	5
8	5
5	5
8	5
8	5
7	7
5	5
7	7
7	7
5	5
7	7
7	7
5	5
5	7
7	7
5	5
7	5
7	7
7	7
5	5
7	5
7	5
5	5
7	5
5	5
7	7
5	5
5	5
7	5
8	7
7	5
5	5
7	5
5	5
5	5
5	5
7	5
5	5
7	7
5	5
8	7
7	7
7	7
7	7
7	7
7	7
5	5
5	7
5	5
7	5
8	7
5	5
5	5
5	5
5	5
5	5
5	7
7	7
5	5
5	5
7	5
8	8
8	5
5	5
5	5
5	5
8	7
8	5
7	7
7	5
8	5
7	7
7	7
5	5
5	5
5	5
8	7
7	7
7	7
7	7
5	5
7	5
5	5
5	5
7	5
7	7
7	5
7	5
7	7
7	7
5	5
7	7
7	7
7	7
7	7
7	7
7	5
7	5
7	5
8	7
8	7
5	5
8	5
7	5
8	7
5	5
5	5
7	7
5	5
5	5
7	7
5	5
5	5
7	7
5	5
5	5
5	5
7	7
5	5
5	5
5	5
5	5
5	5
5	5
7	7
5	5
5	5
8	7
5	5
7	7
5	5
5	5
7	7
5	5
5	5
5	5
5	5
5	5
8	7
8	7
7	7
5	5
7	7
7	7
5	5
5	5
7	7
8	8
7	5
5	5
5	5
7	7
7	7
5	5
5	5
5	5
5	5
5	5
7	5
7	5
5	5
5	5
7	7
7	5
7	5
7	7
5	5
7	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
7	7
5	5
5	5
5	5
5	5
5	5
5	7
7	7
5	5
7	5
